world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
401-500,University of Bari Aldo Moro,Italy,Europe,28.7,31.7,21.6,48.8,45.4,33.2,51560.0,65.1,2.0,65 : 35,65.0
401-500,Bar-Ilan University,Israel,Asia,22.6,49.4,21.3,42.3,28.9,30.3,17503.0,16.0,5.0,59 : 41,59.0
401-500,Bournemouth University,United Kingdom,Europe,32.0,70.6,12.6,35.2,28.8,30.0,14907.0,25.9,18.0,53 : 47,53.0
401-500,University of Brescia,Italy,Europe,15.6,36.6,14.8,72.3,35.8,34.5,14076.0,25.0,7.0,48 : 52,48.0
401-500,Brno University of Technology,Czech Republic,Europe,18.0,35.8,14.7,55.8,33.7,30.1,23694.0,21.3,15.0,27 : 73,27.0
401-500,Brunel University London,United Kingdom,Europe,24.8,91.8,23.3,39.5,34.7,34.0,12613.0,17.6,38.0,46 : 54,46.0
401-500,Ca’ Foscari University of Venice,Italy,Europe,23.9,38.1,27.8,48.9,32.3,33.8,19267.0,38.3,7.0,66 : 34,66.0
401-500,University of Cagliari,Italy,Europe,19.4,32.6,13.2,56.8,33.6,30.1,30638.0,51.0,1.0,62 : 38,62.0
401-500,University of Canterbury,New Zealand,Oceania,23.5,91.0,22.5,38.9,52.1,33.6,12187.0,16.5,20.0,51 : 49,51.0
401-500,Catholic University of the Sacred Heart,Italy,Europe,18.6,39.0,11.3,55.4,38.7,29.5,30304.0,18.9,10.0,,
401-500,Charles University in Prague,Czech Republic,Europe,31.5,52.8,21.5,41.0,28.2,32.9,51438.0,13.0,15.0,62 : 38,62.0
401-500,"China Medical University, Taiwan",Taiwan,Asia,24.0,25.7,29.4,45.0,60.4,33.0,7983.0,15.4,8.0,53 : 47,53.0
401-500,City University London,United Kingdom,Europe,23.5,89.6,21.2,43.5,28.9,33.9,13053.0,17.8,50.0,55 : 45,55.0
401-500,Claude Bernard University Lyon 1,France,Europe,21.3,50.5,13.2,66.5,34.5,34.9,35308.0,16.1,11.0,50 : 50,50.0
401-500,University of Coimbra,Portugal,Europe,28.3,46.2,26.5,42.4,34.8,33.5,22795.0,19.0,11.0,55 : 45,55.0
401-500,Complutense University of Madrid,Spain,Europe,33.2,39.1,27.6,31.2,30.9,31.3,86519.0,17.5,13.0,62 : 38,62.0
401-500,Concordia University,Canada,North_America,19.3,77.4,23.4,36.4,30.9,30.3,31017.0,30.3,27.0,50 : 50,50.0
401-500,Curtin University,Australia,Oceania,20.1,93.1,20.2,44.6,37.8,33.4,30333.0,17.1,38.0,53 : 47,53.0
401-500,Dublin City University,Republic of Ireland,Europe,26.1,76.7,25.2,36.3,51.7,33.3,8546.0,22.9,17.0,51 : 49,51.0
401-500,East China University of Science and Technology,China,Asia,24.1,21.7,17.1,46.4,64.7,29.5,27140.0,15.5,5.0,,
401-500,Ewha Womans University,South Korea,Asia,23.9,34.3,18.3,50.4,57.6,31.8,17625.0,14.4,6.0,100 : 0,100.0
401-500,Federico Santa María Technical University,Chile,South America,17.2,54.1,10.1,70.5,35.1,34.3,11718.0,34.0,2.0,24 : 76,24.0
401-500,University of Ferrara,Italy,Europe,17.7,41.8,17.2,63.3,35.9,33.5,18882.0,30.2,7.0,56 : 44,56.0
401-500,Florida International University,United States of America,North_America,25.7,32.8,18.1,49.4,32.7,31.2,32566.0,25.9,7.0,56 : 44,56.0
401-500,University of Genoa,Italy,Europe,27.2,38.8,14.2,59.3,42.3,34.2,37373.0,29.5,9.0,56 : 44,56.0
401-500,Georgia State University,United States of America,North_America,26.3,29.5,19.5,52.9,28.7,32.5,28534.0,20.4,5.0,59 : 41,59.0
401-500,University of Graz,Austria,Europe,24.9,68.9,16.3,53.3,29.3,34.2,20584.0,26.8,12.0,65 : 35,65.0
401-500,Heriot-Watt University,United Kingdom,Europe,23.4,90.1,22.4,36.4,45.6,32.6,8773.0,17.8,43.0,41 : 59,41.0
401-500,Hokkaido University,Japan,Asia,40.3,27.9,32.8,29.3,53.7,34.2,18162.0,8.2,9.0,29 : 71,29.0
401-500,Howard University,United States of America,North_America,38.8,30.3,11.0,44.5,,,10297.0,6.8,5.0,65 : 35,65.0
401-500,University of Hull,United Kingdom,Europe,22.4,73.2,16.1,41.1,31.8,30.2,15141.0,18.7,20.0,52 : 48,52.0
401-500,University of Idaho,United States of America,North_America,28.3,32.0,19.4,40.8,32.4,29.8,11641.0,21.5,6.0,47 : 53,47.0
401-500,Indian Institute of Technology Delhi,India,Asia,35.8,15.5,25.8,33.4,62.8,31.2,8371.0,17.3,1.0,18 : 82,18.0
